Subs,cancellation_date
527616,NULL
528131,NULL
528163,NULL
528371,NULL
528463,4/13/16
528539,4/4/16
528631,NULL
528720,NULL
528812,NULL
528887,NULL
528889,3/29/16
528908,NULL
529055,3/22/16
529217,NULL
529227,NULL
529254,NULL
529299,NULL
529304,NULL
529306,NULL
529572,NULL
529687,NULL
529875,NULL
529910,NULL
529986,NULL
530085,NULL
530157,NULL
530177,NULL
530520,NULL
530609,NULL
530740,NULL
530814,NULL
530873,NULL
530892,NULL
530986,NULL
531011,NULL
531020,NULL
531256,NULL
531267,NULL
531415,NULL
531424,NULL
531447,NULL
531462,NULL
531522,NULL
531563,NULL
531576,NULL
531870,NULL
531989,NULL
532071,NULL
532145,3/23/16
532212,NULL
532223,NULL
532227,NULL
532318,NULL
532331,NULL
532422,NULL
532593,NULL
532645,NULL
532723,NULL
532729,NULL
532745,NULL
532842,NULL
532858,NULL
533183,NULL
533237,4/1/16
533463,NULL
533472,NULL
533488,NULL
533515,NULL
533595,NULL
533611,NULL
533756,NULL
533840,NULL
533895,NULL
533928,3/22/16
533939,3/22/16
533986,NULL
534105,NULL
534194,NULL
534357,NULL
534360,NULL
534366,3/17/16
534613,NULL
534682,NULL
534723,NULL
534784,NULL
534819,NULL
534981,NULL
534997,NULL
535029,NULL
535059,NULL
535109,3/17/16
535276,NULL
535285,NULL
535370,NULL
535553,4/15/16
535635,NULL
535671,NULL
535743,NULL
535797,NULL
535814,NULL
535897,NULL
535959,NULL
536002,NULL
535995,NULL
536105,NULL
536140,NULL
536238,NULL
536367,NULL
536852,4/1/16
536875,NULL
536884,NULL
537139,NULL
537195,NULL
537375,NULL
537478,4/7/16
537564,NULL
537657,3/18/16
537661,NULL
537909,3/23/16
537954,NULL
537994,NULL
538020,4/5/16
538023,4/5/16
538060,NULL
538114,NULL
538135,NULL
538253,NULL
538455,NULL
538564,NULL
538577,NULL
538615,NULL
538624,NULL
538751,NULL
539013,NULL
539053,NULL
539106,NULL
539160,NULL
539225,NULL
539229,NULL
539230,NULL
539272,NULL
539291,NULL
539344,NULL
539359,NULL
539391,NULL
539426,NULL
539453,NULL
539471,4/11/16
539500,NULL
539508,NULL
539523,NULL
539524,NULL
539574,NULL
539671,NULL
539672,3/24/16
539753,NULL
539778,NULL
539904,NULL
540061,NULL
540117,NULL
540160,4/1/16
540231,NULL
540237,NULL
540304,NULL
540438,NULL
540690,NULL
540936,3/26/16
541101,NULL
541188,NULL
541202,NULL
541247,NULL
541308,NULL
541314,NULL
541340,NULL
541351,4/2/16
541404,NULL
541439,NULL
541455,NULL
541474,4/6/16
541478,NULL
541598,NULL
541663,NULL
541689,4/14/16
541728,NULL
541955,3/22/16
541989,NULL
542097,NULL
542168,NULL
542176,NULL
542305,NULL
542376,3/31/16
542489,NULL
542493,NULL
542610,NULL
542658,NULL
542742,NULL
542824,NULL
542861,NULL
542957,NULL
542976,NULL
542977,NULL
543171,NULL
543178,NULL
543188,NULL
543201,NULL
543310,NULL
543340,NULL
543355,NULL
543368,NULL
543401,NULL
543473,NULL
543480,NULL
543503,NULL
543539,NULL
543692,NULL
543700,NULL
543795,3/31/16
543807,NULL
543897,NULL
543933,NULL
544075,NULL
544157,NULL
544208,NULL
544264,4/2/16
544392,NULL
544533,NULL
544538,NULL
544550,NULL
544563,NULL
544619,NULL
544732,NULL
544757,NULL
545010,NULL
545025,NULL
545047,NULL
545122,NULL
545211,NULL
545363,NULL
545380,NULL
545410,NULL
545436,NULL
545450,NULL
545601,NULL
545626,NULL
545699,NULL
545730,NULL
545789,NULL
545871,NULL
545879,NULL
545890,NULL
545913,NULL
545944,NULL
546075,NULL
546222,NULL
546225,NULL
546390,NULL
546396,NULL
546412,NULL
546433,NULL
546469,NULL
546475,NULL
546479,NULL
546536,NULL
546550,NULL
546615,3/24/16
546621,NULL
546702,NULL
